acci_severity,row,acci_ref,loc_east_osgr,loc_nor_osgr,longitude,latitude,date,_months_,day_of_week,time,hour_of_day,time_category,loc_auth_ons_distr,first_road_class,first_road_num,road_type,speed_limit,junc_detail,sec_road_class,ped_cross_hum_con,ped_cross_phy_facil,light_con,weath_con,road_surf_con,spec_con_site,carri_haz,urb_or_rur_area,did_poli_offi_att,tru_road_flag,lsoa_of_acc_loc,num_of_casu,num_of_vehi,junc_detail_d,ped_cross_hum_con_d,ped_cross_phy_facil_d,carri_haz_d,light_con_d,road_surf_con_d,road_type_d,spec_con_site_d,weath_con_d,urb_or_rur_d,NumberHits,ExpectedHits,SamplingWeight,constant,NumberHits2,ExpectedHits2,SamplingWeight2
1,3,451076994,490518,154620,-0.703465,51.283536,8/14/2021,aug,7,30:00.0,14,after,E07000209,6,0,6,40,0,0,0,0,1,1,1,0,0,2,1,2,E01030466,1,1,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Dry,Single carriageway,None,Fine no high winds,Rural,1,1,1,1,3,1,1
1,3,451076994,490518,154620,-0.703465,51.283536,8/14/2021,aug,7,30:00.0,14,after,E07000209,6,0,6,40,0,0,0,0,1,1,1,0,0,2,1,2,E01030466,1,1,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Dry,Single carriageway,None,Fine no high winds,Rural,1,1,1,1,3,1,1
1,3,451076994,490518,154620,-0.703465,51.283536,8/14/2021,aug,7,30:00.0,14,after,E07000209,6,0,6,40,0,0,0,0,1,1,1,0,0,2,1,2,E01030466,1,1,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Dry,Single carriageway,None,Fine no high winds,Rural,1,1,1,1,3,1,1
1,3,451092417,508315,137440,-0.453547,51.126006,9/27/2021,sep,2,17:00.0,18,eveni,E07000216,4,2128,6,60,0,0,0,0,1,1,1,0,0,2,1,2,E01030862,1,2,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Dry,Single carriageway,None,Fine no high winds,Rural,3,1,1,1,1,1,1
1,3,451119051,520009,163568,-0.277769,51.358515,12/8/2021,dec,4,19:00.0,21,eveni,E07000208,4,284,3,40,0,0,0,0,4,1,1,0,0,1,1,2,E01030401,1,3,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Darkness - lights lit,Dry,Dual carriageway,None,Fine no high winds,Urban,1,1,1,1,1,1,1
1,3,451122358,521391,161276,-0.258711,51.337622,12/17/2021,dec,6,32:00.0,7,morni,E07000208,3,24,6,30,9,6,0,0,1,1,1,0,0,1,1,2,E01030391,1,1,Other junction,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Dry,Single carriageway,None,Fine no high winds,Urban,2,1,1,1,1,1,1
1,4,451022967,505419,168572,-0.485751,51.406386,2/21/2021,feb,1,49:00.0,17,after,E07000213,4,376,6,30,0,0,0,0,4,1,2,0,0,2,1,2,E01030721,2,2,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Darkness - lights lit,Wet or damp,Single carriageway,None,Fine no high winds,Rural,2,1,1,1,2,1,1
1,4,451022967,505419,168572,-0.485751,51.406386,2/21/2021,feb,1,49:00.0,17,after,E07000213,4,376,6,30,0,0,0,0,4,1,2,0,0,2,1,2,E01030721,2,2,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Darkness - lights lit,Wet or damp,Single carriageway,None,Fine no high winds,Rural,2,1,1,1,2,1,1
1,4,451033139,493769,161871,-0.654959,51.348193,4/6/2021,apr,3,20:00.0,14,after,E07000214,3,322,3,70,3,6,0,8,1,1,1,0,0,2,1,2,E01030806,1,1,T or staggered junction,None within 50 metres,Central refuge,None,Daylight,Dry,Dual carriageway,None,Fine no high winds,Rural,2,1,1,1,1,1,1
1,4,451036670,536127,152890,-0.050484,51.258926,4/18/2021,apr,1,28:00.0,17,after,E07000215,1,25,3,70,0,0,0,0,1,1,1,0,0,2,1,1,E01030825,2,4,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Dry,Dual carriageway,None,Fine no high winds,Rural,1,1,1,1,2,1,1
